Time,borFie.TBorAve
3.73104e+07,284.78638
3.7314e+07,284.7789
3.73176e+07,284.77402
3.73212e+07,284.7991
3.73248e+07,284.85138
3.73284e+07,284.8864
3.7332e+07,284.9112
3.73356e+07,284.92963
3.73392e+07,284.9439
3.73428e+07,284.95557
3.73464e+07,284.9655
3.735e+07,284.97293
3.73536e+07,284.94763
3.73572e+07,284.8957
3.73608e+07,284.86172
3.73644e+07,284.83743
3.7368e+07,284.81894
3.73716e+07,284.80588
3.73752e+07,284.79742
3.73788e+07,284.7918
3.73824e+07,284.7875
3.7386e+07,284.78574
3.73896e+07,284.78485
3.73932e+07,284.78107
3.73968e+07,284.7763
3.74004e+07,284.77084
3.7404e+07,284.76462
3.74076e+07,284.7897
3.74112e+07,284.8431
3.74148e+07,284.87906
3.74184e+07,284.90463
3.7422e+07,284.92374
3.74256e+07,284.9386
3.74292e+07,284.9506
3.74328e+07,284.96066
3.74364e+07,284.96768
3.744e+07,284.94162
3.74436e+07,284.8891
3.74472e+07,284.85513
3.74508e+07,284.83176
3.74544e+07,284.81506
3.7458e+07,284.80496
3.74616e+07,284.79926
3.74652e+07,284.79572
3.74688e+07,284.79337
3.74724e+07,284.79294
3.7476e+07,284.79288
3.74796e+07,284.78986
3.74832e+07,284.78595
3.74868e+07,284.7815
3.74904e+07,284.7762
3.7494e+07,284.8
3.74976e+07,284.8504
3.75012e+07,284.88443
3.75048e+07,284.9086
3.75084e+07,284.9267
3.7512e+07,284.9409
3.75156e+07,284.95248
3.75192e+07,284.9623
3.75228e+07,284.96796
3.75264e+07,284.94147
3.753e+07,284.8913
3.75336e+07,284.85956
3.75372e+07,284.83835
3.75408e+07,284.8234
3.75444e+07,284.81335
3.7548e+07,284.80658
3.75516e+07,284.8014
3.75552e+07,284.79675
3.75588e+07,284.79294
3.75624e+07,284.7888
3.7566e+07,284.78268
3.75696e+07,284.77533
3.75732e+07,284.76892
3.75768e+07,284.76385
3.75804e+07,284.78894
3.7584e+07,284.84195
3.75876e+07,284.87738
3.75912e+07,284.90234
3.75948e+07,284.92084
3.75984e+07,284.93527
3.7602e+07,284.947
3.76056e+07,284.95682
3.76092e+07,284.96283
3.76128e+07,284.93256
3.76164e+07,284.87503
3.762e+07,284.83972
3.76236e+07,284.81833
3.76272e+07,284.80545
3.76308e+07,284.7983
3.76344e+07,284.79465
3.7638e+07,284.79245
3.76416e+07,284.79062
3.76452e+07,284.78915
3.76488e+07,284.78644
3.76524e+07,284.78073
3.7656e+07,284.7729
3.76596e+07,284.76547
3.76632e+07,284.7599
3.76668e+07,284.78464
3.76704e+07,284.83728
3.7674e+07,284.87247
3.76776e+07,284.89713
3.76812e+07,284.91534
3.76848e+07,284.92957
3.76884e+07,284.94104
3.7692e+07,284.95084
3.76956e+07,284.95703
3.76992e+07,284.9285
3.77028e+07,284.87463
3.77064e+07,284.84286
3.771e+07,284.82404
3.77136e+07,284.8133
3.77172e+07,284.8095
3.77208e+07,284.8102
3.77244e+07,284.81262
3.7728e+07,284.81537
3.77316e+07,284.8181
3.77352e+07,284.81836
3.77388e+07,284.81415
3.77424e+07,284.80753
3.7746e+07,284.80164
3.77496e+07,284.7976
3.77532e+07,284.81973
3.77568e+07,284.86563
3.77604e+07,284.8965
3.7764e+07,284.9185
3.77676e+07,284.9349
3.77712e+07,284.94785
3.77748e+07,284.95856
3.77784e+07,284.96783
3.7782e+07,284.97375
3.77856e+07,284.95166
3.77892e+07,284.90857
3.77928e+07,284.88153
3.77964e+07,284.86472
3.78e+07,284.85425
3.78036e+07,284.84717
3.78072e+07,284.84235
3.78108e+07,284.83856
3.78144e+07,284.83295
3.7818e+07,284.8254
3.78216e+07,284.81805
3.78252e+07,284.81152
3.78288e+07,284.80545
3.78324e+07,284.79987
3.7836e+07,284.79547
3.78396e+07,284.8192
3.78432e+07,284.86783
3.78468e+07,284.9004
3.78504e+07,284.92352
3.7854e+07,284.9408
3.78576e+07,284.95435
3.78612e+07,284.96536
3.78648e+07,284.97464
3.78684e+07,284.98114
3.7872e+07,284.95685
3.78756e+07,284.9078
3.78792e+07,284.87558
3.78828e+07,284.8534
